Algorithm: Prim's MST
51614 48537 13
32676 96098 16
61153 35688 18
35688 34867 1
35688 61613 7
61153 76371 20
73979 2718 22
2718 83180 4
2718 23759 14
83180 8064 16
8064 14334 11
14334 53103 15
53103 28196 5
23759 1176 20
8064 6071 20
6071 95757 8
6071 12070 9
12070 13231 6
28196 6901 21
6901 2933 20
2933 5190 13
53103 28395 21
6901 12961 22
12961 106 19
106 132 5
132 94494 6
106 44340 11
44340 62147 19
62147 49816 14
49816 23445 2
49816 66419 2
106 1054 21
1054 13722 10
1054 27542 19
12961 11579 22
11579 10226 11
10226 8889 1
10226 44878 13
44878 45356 11
76371 32409 22
73979 39978 22
39978 85318 1
39978 96124 2
85318 53274 18
53274 16551 10
16551 51994 7
45356 64762 22
64762 91107 3
64762 73345 14
6901 15536 23
15536 5097 11
32676 26527 23
5190 36641 23
106 1159 24
3019 1476 24
1476 5565 4
1476 2619 6
1476 26424 15
5565 45696 16
45696 33471 13
33471 41 1
1476 52096 22
41 4 23
4 1 9
1 248 1
1 13431 2
1 835 5
835 77325 2
835 71170 7
71170 37510 8
4 40172 10
40172 56291 1
40172 42011 2
40172 89271 7
13431 21714 22
248 6052 23
6052 60230 19
60230 6520 22
6520 23034 5
23034 3773 7
6520 23904 14
1476 3052 24
3052 5867 7
835 9439 24
45696 53254 24
95757 98531 24
41 52 25
52 1705 11
1705 40300 11
40300 85983 9
52 5458 15
5458 50785 6
50785 84658 11
85983 35408 16
35408 23025 9
40300 80176 17
80176 17343 12
17343 99621 18
99621 59102 3
99621 12987 5
12987 30940 12
12987 9044 13
12987 76548 14
30940 57280 15
57280 75174 8
57280 48812 17
12987 82342 21
40300 56485 23
84658 9453 24
82342 72944 24
83180 8160 25
8160 25342 3
25342 12850 11
12850 178 15
178 20647 1
8160 4805 15
25342 32454 16
8160 62036 16
62036 80266 11
12850 10012 19
4805 39808 21
39808 26407 21
80266 24387 23
24387 13951 10
4805 24586 23
24586 98783 19
80176 8775 25
8775 5649 22
5649 12177 3
37510 43166 25
43166 74209 12
74209 81122 1
43166 50019 21
1054 64173 25
23034 78091 25
52 334 26
334 6700 1
334 83100 5
334 33162 12
334 7355 13
7355 47497 4
334 1346 16
1346 87926 18
87926 22810 18
22810 8074 8
8074 2364 3
22810 30916 11
30916 20021 8
2364 36034 13
2364 11366 17
11366 31425 15
334 15435 20
30916 15459 20
15459 29819 4
22810 43880 20
43880 73287 11
6700 72897 20
72897 49729 15
1346 93427 20
7355 28008 21
11366 4326 22
4326 1169 21
1169 68649 1
1169 23971 22
23971 71771 16
8074 82585 22
82585 19979 5
19979 9826 1
82585 46107 20
33162 86474 22
73287 92094 22
92094 87079 8
1169 15001 23
15001 11560 6
11560 30731 4
30731 31964 3
31964 10860 7
15001 30528 12
30731 59328 19
72897 36746 23
36746 1571 21
1571 2568 1
2568 49785 6
2568 72641 16
1571 2487 23
2487 2928 22
2928 4007 9
4007 4603 2
2928 51361 11
4007 52405 11
4007 7540 13
7540 12640 1
7540 77093 10
77093 79398 2
51361 99611 15
52405 96525 19
4603 19720 20
19720 86773 17
19720 47051 20
7540 92282 20
7540 39010 21
39010 22757 10
22757 50892 2
50892 73499 12
47051 69673 22
69673 14291 5
14291 27851 9
69673 63070 9
63070 52026 5
27851 16465 11
16465 14490 13
14490 98324 8
52026 24931 20
24931 18084 11
18084 4989 14
18084 88457 18
88457 92510 17
92510 38249 4
38249 60348 4
60348 87593 20
87593 32869 1
32869 20168 2
32869 81355 7
32869 9468 8
9468 65307 8
81355 34577 10
65307 59125 14
59125 62528 1
9468 24585 15
39010 39263 23
39263 46051 4
46051 97549 9
97549 15358 3
15358 12179 7
12179 36639 1
97549 29000 7
15435 39514 23
39514 53873 18
53873 18697 4
18697 43098 5
53873 46860 5
18697 59098 13
18697 80943 13
71771 68001 23
68001 60534 10
60534 88109 13
43880 17008 24
17008 17981 8
17008 15389 11
15389 17443 7
24931 23662 24
23662 73227 17
23662 83215 17
23662 97212 20
97212 34318 4
34318 86257 13
34318 70297 18
70297 71630 3
70297 56352 4
56352 28433 15
56352 73946 15
97212 86894 18
86894 24157 19
24157 51846 20
34318 14530 22
17981 23745 24
23745 32621 19
28008 62739 24
88457 67443 24
22757 88661 24
96525 99889 24
49785 21687 25
21687 30340 14
21687 29413 24
29413 34481 2
15001 43916 25
52405 90105 25
90105 85634 1
90105 81898 18
85634 61579 19
61579 10008 22
10008 96692 16
96692 20857 5
39978 12357 26
12357 9569 19
9569 19239 4
19239 77015 3
77015 41908 7
1176 19300 26
19300 9321 18
9321 2639 14
2639 73189 8
2639 356 17
356 780 1
356 9738 5
780 81418 9
81418 84472 2
780 34799 10
34799 70149 1
81418 44030 15
44030 61208 6
61208 68973 2
44030 51333 10
34799 86229 16
81418 86809 17
86229 79275 19
79275 30561 19
84472 28078 22
28078 91374 9
28078 4549 18
28078 29814 21
4549 68831 21
29814 54822 22
356 119 23
119 959 3
119 68946 4
119 3020 5
3020 15059 8
68946 10139 13
68946 40066 14
40066 23964 9
119 5 15
5 760 7
760 1669 8
1669 23398 1
5 49 11
49 45390 1
45390 7810 6
49 4130 9
4130 21864 7
49 2265 10
7810 2473 13
760 3381 14
4130 6603 14
760 71581 14
119 31471 15
31471 1652 6
1652 30296 2
30296 22161 1
30296 33252 2
30296 93542 2
93542 5932 4
1652 1298 13
5932 74064 14
74064 46285 3
74064 61840 10
23398 46589 15
46589 10549 3
46589 91928 5
91928 65065 10
1669 50725 15
23964 19388 16
19388 3295 3
19388 90028 11
90028 16198 13
19388 66483 13
66483 44850 1
44850 47466 6
22161 2829 18
2829 32577 9
32577 2050 2
19388 4935 18
4935 1107 2
4935 95849 14
21864 14084 18
14084 48978 17
48978 32974 7
1298 35119 18
14084 44588 18
7810 58522 18
68946 63357 18
63357 47393 9
49 9900 19
2265 10632 19
10632 52280 11
10632 70128 12
5 39295 19
39295 20788 2
20788 39318 6
39318 48619 1
20788 36846 8
36846 65789 10
65789 16906 12
22161 312 20
312 52401 5
52401 33305 10
312 192 11
312 81462 12
81462 31244 1
312 5655 14
312 1611 15
1611 3005 3
3005 34590 6
31244 89312 15
192 142 17
142 21 3
21 182 5
182 89321 4
21 22 12
22 78632 1
182 2383 13
2383 65514 4
22 56917 13
142 69738 15
69738 67281 2
67281 73572 2
69738 85224 11
142 72453 15
5655 14377 17
14377 75338 10
75338 77027 11
312 22723 17
22723 27225 10
22723 90313 15
85224 27860 18
27860 42021 2
33305 44289 19
44289 23228 17
23228 92440 16
92440 86720 7
86720 85198 15
39295 56667 20
56667 59223 19
59223 76530 11
76530 82392 15
82392 43197 11
21864 65360 20
74064 76866 20
2383 34297 21
34297 68688 4
27225 51856 21
2050 2076 22
2076 2188 22
22161 2513 22
48619 9328 22
9328 77861 2
9328 57450 7
57450 57584 13
57584 52063 10
52063 56293 11
56293 78650 1
78650 28066 2
56293 56202 2
56293 63113 2
52063 27230 14
27230 23291 5
23291 65036 1
23291 79381 4
27230 82133 7
82133 54615 8
54615 23737 5
23737 21343 6
23291 59327 12
23737 90536 13
90536 47789 4
59327 9131 16
9131 4945 8
9131 29581 14
29581 64928 3
64928 70419 16
70419 43482 11
28066 81170 16
82133 67632 18
43482 71153 18
54615 89860 19
64928 12926 21
12926 11705 4
12926 27195 12
12926 82846 21
78632 23050 22
47789 40813 22
10549 75963 22
69738 92173 22
92173 22656 13
22656 11012 11
11012 7303 6
7303 57432 2
11012 18067 21
3381 92374 22
92374 86279 6
86279 31856 1
31856 29640 6
92374 29810 12
29810 4565 17
4565 6533 7
6533 15641 7
15641 29986 18
119 8247 23
22723 22313 23
22313 83154 14
22313 7751 16
7751 30623 6
7751 56383 13
7751 43510 20
43510 1351 1
43510 68738 7
43510 63821 14
63821 7627 11
7627 10538 7
10538 39830 6
10538 83966 9
83966 99686 10
10538 40444 14
1351 451 16
451 8025 9
83966 63061 21
99686 75448 21
75448 4633 14
4633 10063 12
4633 89066 12
7627 5114 22
10538 19081 23
19081 26649 19
26649 77812 6
77812 64725 17
64725 47169 15
64725 53839 21
77812 85540 22
85540 69531 22
68688 35980 23
35980 374 15
374 4298 2
67632 39676 23
39676 77026 20
22723 40888 23
8025 55214 23
55214 15465 20
15465 66578 1
15465 3300 16
55214 88535 21
3300 58763 22
58763 23208 3
23208 67463 15
58763 47043 18
22723 57719 23
31471 59728 23
59728 60759 8
60759 32320 11
32320 14423 23
14423 6581 2
6581 2766 10
27860 61536 23
61536 77757 17
77757 79099 5
66578 63847 23
63847 1253 1
1253 208 22
208 8358 9
8358 23765 13
23765 44600 7
23765 79254 17
208 2058 19
2058 48848 13
48848 26673 9
23765 96076 20
10632 74523 23
34297 93345 23
21 704 24
704 2234 6
2234 51585 6
704 94817 13
94817 32561 14
32561 17875 14
32561 64191 14
17875 17246 18
17246 14967 15
2234 61500 18
61500 38231 10
17246 14653 21
14653 30371 11
30371 56329 18
56329 29467 5
56329 34569 6
29467 56783 20
17246 19508 21
19508 13959 4
10549 1162 24
1162 23734 1
1162 84074 14
84074 92387 19
39676 1213 24
1213 456 15
456 311 11
311 21057 7
1213 6185 17
451 1241 24
1241 18265 15
2473 1457 24
1457 30024 6
1457 68685 10
68685 58972 1
58972 93868 6
1457 69137 12
58972 67231 23
67231 67862 17
67862 42205 9
42205 40018 11
40018 20338 5
40018 61784 12
20338 33452 16
61784 22746 17
22746 14971 10
14971 17029 4
14971 18725 10
18725 11315 15
11315 7019 16
7019 84114 3
22746 36621 17
36621 88016 3
88016 68173 12
33452 46040 18
46040 99987 1
99987 27999 17
22746 59182 18
59182 13869 18
46040 68930 19
68930 41657 4
68930 47096 10
47096 60796 11
60796 76600 10
41657 56025 13
68930 81540 14
60796 89385 15
89385 3157 15
17029 19160 21
33452 63405 21
63405 99815 5
68930 23487 23
10549 4608 24
14971 5096 24
5096 1388 16
1388 593 5
593 91669 2
1388 57269 7
593 2689 8
2689 42358 2
2689 88787 2
2689 98494 6
2689 40678 12
91669 61790 12
61790 1157 14
1157 6424 9
1157 44801 9
44801 24590 4
44801 43176 5
43176 53747 4
53747 77470 8
43176 21517 10
21517 9256 9
9256 32129 10
32129 55298 6
9256 14199 13
91669 72069 15
14199 87032 15
87032 84778 15
24590 10266 16
10266 37723 5
10266 11902 6
37723 78779 6
11902 4938 13
11902 52044 16
1157 809 18
809 1443 8
11902 13506 18
13506 77211 11
13506 42990 15
10266 60494 19
60494 94343 8
94343 66487 1
60494 1361 17
1361 65767 3
65767 69440 5
1361 640 7
640 96342 5
640 57255 7
640 18261 12
18261 52671 4
1361 11337 16
11337 35304 17
53747 11936 20
11936 21335 18
77470 14123 21
14123 11299 19
11299 42090 15
42090 50908 6
50908 48803 17
48803 52698 1
48803 38715 17
38715 37667 4
38715 63392 11
63392 65075 11
65075 26318 14
26318 7287 3
26318 83726 3
7287 12572 6
7287 39762 8
12572 44226 15
63392 24250 18
24250 8211 8
24250 17988 8
17988 16218 7
17988 7310 8
48803 51767 18
51767 94046 18
7310 15884 19
15884 46201 3
39762 62695 19
1157 16660 21
44801 70708 21
11936 82594 21
91669 17470 22
17470 46541 20
46541 40913 5
40913 519 2
519 44134 4
519 3734 8
3734 67441 12
67441 30023 5
46541 5121 17
5121 86510 12
86510 74401 18
74401 52167 17
74401 88613 17
88613 85675 10
85675 11667 6
11667 35860 8
11667 66005 13
66005 26491 15
11667 37793 16
37793 52847 16
52847 22681 7
52847 69087 7
69087 22194 5
22681 54796 16
37793 56536 16
56536 97940 14
97940 46775 17
3734 3754 19
3734 7014 21
7014 34764 4
7014 77562 7
34764 62491 9
62491 59952 11
77562 63159 12
30023 88257 21
18261 22856 22
22856 8591 21
88613 24027 22
24027 59127 2
24027 47982 17
47982 50103 9
24027 71556 18
50103 84229 19
84229 50490 11
50490 76832 1
50490 71554 18
71554 74149 10
42358 53438 22
26318 24527 23
72069 36409 23
809 39959 23
39959 55545 15
55545 77537 5
77537 36644 12
39959 40278 18
40278 78054 2
40278 1534 3
78054 40687 5
78054 16118 9
40687 44217 12
1534 475 17
475 653 2
653 2682 9
2682 12869 10
653 1233 11
475 23403 14
23403 96571 3
23403 83433 15
83433 3400 6
2682 10351 17
10351 74900 1
10351 35314 4
35314 37014 6
37014 38267 1
74900 60690 7
10351 99431 10
60690 99446 14
99446 74594 15
74594 54929 7
60690 21633 17
16118 23724 17
23724 72661 8
23403 26420 17
83433 58753 17
58753 80852 17
3400 5492 20
5492 4183 18
4183 1879 5
1879 693 4
4183 12700 5
12700 40720 2
12700 17078 11
12700 65428 14
4183 72319 15
99431 56367 20
56367 53597 16
37014 89926 20
38267 83581 21
4183 38342 22
80852 86980 22
10351 3412 23
78054 27493 23
27493 42715 20
40720 32885 23
32885 37997 16
32885 14980 21
14980 66126 8
593 58555 23
58555 67836 9
67836 11661 3
11661 48191 5
58555 13847 13
67836 2937 21
2937 96553 6
44226 67578 23
67578 70304 9
96342 67767 23
67767 20573 14
20573 85949 9
59127 68452 23
21633 74405 23
74405 10952 6
74405 43622 7
43622 57607 2
43622 53163 7
53163 13753 9
53163 88005 9
88005 48035 10
53163 76924 12
48035 6221 19
6221 9207 15
43622 26706 19
57607 62678 19
9207 98735 19
48035 95642 21
38267 77962 23
77962 89912 12
89912 615 3
615 36776 8
615 92596 11
615 10279 15
69087 93078 23
93078 81954 1
93078 23453 9
23453 40423 4
40423 48704 5
23453 73799 13
73799 19559 12
19559 9412 14
73799 15136 15
20338 10574 24
10574 29071 14
29071 66602 23
4183 13767 24
58753 14834 24
14834 69032 7
69032 36332 7
36332 47386 2
47386 50558 2
36332 72424 3
47386 1201 12
1201 998 1
1201 3747 14
998 10855 16
1201 20847 17
14834 5258 19
69032 7345 19
7345 15283 4
7345 81872 4
81872 98193 9
15283 32787 17
32787 92205 1
32787 95930 8
95930 69424 6
69424 43692 3
32787 37725 11
50558 60274 19
60274 81765 5
81765 44073 2
44073 73783 8
73783 34016 11
34016 70930 7
34016 14115 12
32787 75939 19
1201 2250 20
2250 2818 1
2818 11406 14
2250 7359 17
7359 38741 2
38741 52788 2
38741 3440 13
3440 7678 8
7678 41389 1
3440 7171 11
7171 35840 1
7359 15221 13
7171 50756 13
3440 12206 15
41389 88725 19
3440 3012 21
3012 68713 9
36332 20740 21
68713 61308 21
61308 73838 18
73838 68016 8
73838 1962 12
73838 16595 12
73838 84228 14
84228 45152 3
84228 89964 4
84228 68349 6
89964 17746 16
68016 56757 20
37725 73538 21
7678 59643 22
59643 13240 9
13240 43262 14
43262 96255 3
41389 75653 22
1201 2997 23
73538 8537 23
3440 13654 23
34016 32018 23
43692 43673 23
43262 48465 23
48465 54376 3
54376 61273 21
61273 15238 13
15238 75389 6
15238 74127 17
34590 16139 24
16139 2583 7
16139 12631 12
16139 59630 19
59630 73088 3
73088 74772 7
74772 61687 18
61687 28641 8
73088 33872 19
33872 14553 12
12631 66456 19
33872 9759 20
14553 1725 22
1725 327 8
327 72210 17
327 392 20
392 3319 19
3319 60022 12
3319 6318 19
6318 30186 10
30186 36390 1
36390 67894 4
30186 18197 7
18197 39448 8
39448 31861 3
36390 88752 10
18197 55561 11
36390 50077 16
50077 39201 7
36390 60371 19
60371 64784 6
392 1919 22
50077 84454 22
2583 14395 23
14395 33054 16
2583 12673 24
12673 54418 4
12673 54135 13
54418 18200 15
14553 15056 24
15056 75202 8
3400 19553 24
1361 20416 24
65065 23777 24
1879 27523 24
27523 16080 1
27523 48180 11
48180 27504 1
27504 46064 5
48180 17566 15
48180 55032 23
55032 25797 22
25797 81510 6
25797 86829 10
38715 28126 24
28126 40486 5
40486 83557 23
8025 45946 24
45946 1873 1
45946 88179 6
88179 38633 3
38633 70424 2
70424 65034 14
65034 17523 9
89964 51455 24
29071 52984 24
52984 25122 13
25122 5745 6
25122 20348 8
52984 29596 18
5745 30 21
30 9187 2
9187 18529 8
9187 15694 10
30 7635 15
7635 11913 1
7635 30612 5
30612 55998 5
55998 19356 14
19356 55745 3
19356 77590 11
19356 28087 15
7635 57320 16
57320 68699 8
68699 474 12
474 4424 12
4424 24896 13
24896 16707 6
57320 50256 14
68699 64304 14
68699 89783 14
89783 38204 13
38204 650 10
474 46793 15
77590 59863 16
30 497 17
497 3016 16
55745 54042 18
54042 2123 15
4424 81322 19
81322 35058 17
474 1579 20
1579 4597 11
4597 21863 10
3016 4116 20
4116 46469 2
46469 39615 5
46469 55645 8
4116 96116 11
55645 37172 12
37172 39352 10
39615 13066 15
13066 10583 5
13066 43301 8
43301 3751 6
43301 3871 13
3871 15757 10
15757 4662 10
4662 1469 11
3871 12136 14
13066 65281 14
3871 14163 15
14163 65266 9
3751 2623 16
2623 8303 9
2623 1722 11
8303 41098 12
41098 45808 9
45808 65304 10
65304 41931 3
41931 10274 5
41931 77783 9
77783 34220 3
65304 59309 12
59309 77873 2
77873 98665 8
98665 47418 16
47418 95407 1
47418 6622 9
13066 22862 17
41098 35712 17
22862 92998 17
92998 47489 5
47489 27698 5
27698 26578 17
26578 34464 9
34464 20881 13
20881 84191 3
26578 85058 15
10274 16342 18
39352 25158 19
25158 53908 1
25158 41330 8
41330 59275 13
59275 90195 17
90195 50917 18
50917 73802 12
1722 36742 19
36742 31266 14
4662 63844 19
55998 12623 20
12623 7948 3
7948 53743 5
7948 46484 11
53743 95987 15
47489 23540 20
23540 83093 1
23540 69373 17
69373 20918 7
83093 19260 18
19260 12938 8
12938 14234 13
12938 43607 17
69373 4330 20
4330 3996 14
3996 10270 2
3996 68986 8
10270 77675 13
10270 90134 16
90134 22990 18
4597 62126 20
25158 84657 20
50917 95773 20
95773 8827 13
68699 97165 20
3016 4992 21
4992 53706 13
53706 51506 6
4992 47081 15
2623 5429 21
5429 9405 16
9405 71909 1
9405 42558 14
9405 41102 15
41102 93367 15
9405 25009 18
25009 63248 17
63248 29487 16
29487 95979 4
29487 98475 6
11913 12310 21
12310 40711 17
40711 67858 6
67858 16586 7
16586 10123 6
10123 38598 3
38598 1631 7
1631 1370 8
1370 23994 8
23994 22034 3
22034 4396 3
4396 23956 2
23994 11141 9
11141 5681 8
5681 4521 3
4521 5790 5
5790 13054 8
4521 6203 9
22034 48879 10
67858 67100 10
67100 25503 4
67100 46506 5
46506 32631 10
32631 2392 1
2392 30140 5
30140 2673 2
1631 13159 13
13159 79112 3
79112 61449 1
61449 39943 4
13159 72377 4
39943 40063 9
40063 44744 2
25503 15705 14
15705 95573 7
95573 24289 3
24289 34046 1
24289 4475 3
4475 22727 8
22727 55459 9
55459 41588 1
55459 22974 6
22974 97508 4
22974 70193 9
22974 39175 10
39175 72810 9
55459 86676 10
86676 97973 2
97973 35032 6
35032 44111 4
44111 25460 8
41588 99848 10
97973 78200 13
78200 18518 8
18518 12650 1
18518 37906 9
70193 4136 14
4136 71 10
71 66318 9
40063 32445 14
23994 78095 14
1631 20533 15
20533 88480 11
88480 48900 13
48900 88164 2
4475 2562 17
2562 2317 5
2317 68067 11
68067 19370 6
19370 6000 3
6000 13239 1
19370 21548 6
13239 2370 11
41588 25987 17
25987 4686 6
25987 47239 16
20533 87786 17
87786 57110 11
57110 71269 16
10123 5188 18
5188 13743 3
13743 65622 2
65622 20237 5
13743 45304 15
1631 5327 18
39175 10698 18
12310 26720 18
26720 87677 9
26720 56445 17
26720 50362 18
50362 5177 17
13743 65898 18
2673 1431 19
22034 5772 19
5772 10559 10
10559 13110 12
10559 30893 12
30893 62570 8
62570 83507 11
62570 98657 12
98657 5550 9
5327 7532 19
7532 38546 8
7532 68331 12
7532 34424 13
34424 63158 6
63158 12391 14
2673 12597 19
12597 25618 8
25618 57178 2
19370 27567 19
27567 28020 8
28020 29875 3
29875 45207 3
29875 38148 4
38148 2040 16
2040 1339 14
1339 17491 6
1339 620 7
620 54728 10
620 8110 12
45207 56000 17
28020 75748 18
75748 80984 4
75748 13560 10
13560 2976 19
2976 76809 9
2976 1628 11
1628 266 9
1628 80524 9
266 23059 11
23059 38181 5
38181 25067 10
25067 10444 8
10444 35033 1
10444 11876 7
35033 70657 10
2976 3322 12
3322 91652 12
91652 74346 8
74346 85106 4
70657 38667 13
76809 43120 15
38667 53195 15
53195 32880 4
74346 85953 15
53195 12788 16
12788 9277 5
12788 34236 5
9277 28664 12
12788 51106 12
51106 88833 1
51106 997 6
997 65239 7
88833 72221 11
997 15209 12
28664 4728 14
35033 65844 18
5188 42314 19
4728 97051 19
97051 72011 16
72011 76022 6
76022 16425 8
76022 65233 10
2562 2753 20
620 3952 20
13110 5856 20
39943 16709 20
42314 17910 20
17910 52928 9
5790 40195 20
40195 20877 20
76022 64084 20
64084 39724 11
39724 2057 17
2057 98551 6
2057 5976 18
5976 63174 19
57110 92146 20
92146 83136 13
83136 4467 7
4467 15433 4
15433 97807 11
97807 91213 1
97807 30855 9
91213 18469 14
18469 50118 13
97807 99508 15
99508 61360 4
50118 45861 17
45861 34666 10
26720 9676 21
2673 12896 21
12896 4460 18
29596 21241 21
21241 23225 3
23225 65907 5
21241 13851 20
7948 26378 21
26378 5346 15
68986 30946 21
2040 47007 21
12896 54348 21
43120 94313 21
4396 2645 22
39175 6805 22
6805 83668 2
15694 7916 22
7916 666 7
666 388 12
388 36404 3
36404 42323 1
42323 5159 3
5159 4339 8
4339 16896 5
16896 64841 9
388 26197 10
26197 15281 6
36404 64798 10
388 443 12
4339 91629 12
91629 4190 2
26197 40810 13
388 89453 15
89453 15601 10
15601 15103 15
15103 10219 12
4190 254 16
254 390 5
390 67532 11
67532 35944 9
254 880 12
880 31021 2
254 3601 12
3601 3704 11
3704 85680 7
85680 3814 4
3814 62176 5
3601 4999 11
10219 20167 16
20167 56074 4
56074 95273 13
95273 73845 6
73845 48873 7
20167 18628 15
3704 23370 16
23370 31151 9
3704 18166 18
18166 66881 1
66881 26780 7
443 17849 19
66881 12160 20
12160 11867 9
12160 26635 17
26635 69946 1
36404 96946 20
26635 4794 21
4794 58385 15
58385 17095 7
4794 20343 17
31021 8082 21
8082 11075 11
11075 66515 5
66515 99245 4
11075 76378 8
76378 25914 5
25914 8908 14
11075 11445 15
880 10798 21
10798 15992 5
15992 63492 2
10798 3903 9
10798 87316 14
87316 39147 4
39147 32033 9
32033 68621 8
39147 18738 17
10798 15873 20
16896 76899 21
20167 86576 21
86576 99024 17
5745 11030 22
11030 38025 19
12391 11973 22
11973 1893 5
11973 12956 6
1893 2446 13
12956 17619 19
17619 63880 15
21548 26929 22
26929 45433 21
25914 31871 22
31871 82686 12
31871 32355 14
32355 17145 3
17910 36927 22
4190 39093 22
39093 7221 21
7221 52240 14
7221 89331 14
89331 89464 19
4339 43240 22
87677 43342 22
2370 47019 22
12391 47284 22
47284 38367 6
17849 49662 22
49662 92171 4
25914 62130 22
85106 65508 22
65508 12465 15
65508 46969 20
5745 67561 22
67561 68216 1
68216 73644 8
73644 25243 7
25243 3987 3
3987 64371 1
25243 70864 21
70864 87283 7
70864 22056 18
22056 79257 2
22056 18931 4
18931 42654 10
18931 19087 11
18931 58447 12
67532 69827 22
69827 86573 2
69827 11511 15
11511 27826 4
27826 54388 12
18518 73495 22
73495 40926 1
73495 97252 1
73495 7575 7
73495 73677 22
39147 81381 22
35032 6892 23
6892 10442 13
10442 81945 8
81945 64963 4
76022 7371 23
7371 97100 4
7371 9009 5
97100 88187 8
88187 91297 8
7371 12497 10
7371 39168 10
39168 58984 6
58984 32242 9
32242 41500 7
32242 54464 7
41500 67521 8
91297 25452 11
88187 28819 11
97100 66222 11
12497 51154 16
88187 54410 18
7371 6982 19
32242 25023 19
67521 46649 19
46649 36780 4
46649 72799 18
8827 15022 23
15022 22232 5
15022 20098 16
22232 19947 20
19947 9301 1
9301 6173 9
9301 35004 11
22232 21593 21
21593 51285 10
51285 22460 2
22460 8820 4
21593 18499 15
8820 48766 21
48766 30725 14
30725 93928 6
30725 3456 9
93928 56205 12
56205 9715 3
9715 76665 1
9715 11122 6
11122 20182 13
48766 91320 15
91320 21251 3
93928 3051 17
3051 3631 6
3631 10235 4
10235 11451 2
10235 60952 4
10235 41855 5
41855 39820 4
3631 65774 10
10235 44782 12
44782 74675 15
3456 14191 17
14191 85216 16
85216 19625 6
19625 40454 11
40454 9626 7
20182 9613 18
11451 50216 19
9626 93864 19
30725 43086 22
43086 98937 21
14191 76449 22
76449 8469 1
650 15947 23
2317 18293 23
18293 20402 17
3322 24661 23
24661 76037 5
24661 29702 11
29702 73494 18
29702 67874 20
67874 11800 23
11800 97581 14
56000 25358 23
25358 12900 5
