Algorithm: Kruskal's MST
8853 9562 1
2167 3737 1
251 1296 1
6830 9954 1
2779 9804 1
1015 2604 1
4004 4011 1
1509 7747 1
324 3759 1
3727 8220 1
8851 9954 1
1012 4656 1
2777 5638 1
3980 7053 1
1905 9483 1
678 4683 1
5983 7017 1
2789 5360 1
4997 9765 1
3715 7493 1
2153 7299 1
3991 5554 1
1202 8021 1
2152 8564 1
6244 7892 1
1202 2343 1
3258 8927 1
3534 4171 1
4095 8415 1
4845 9997 1
1460 2998 1
6448 8562 1
1058 1073 1
1511 6637 1
4207 8996 1
5239 5772 1
1603 6286 1
352 2028 1
79 329 1
7618 8466 1
2531 3637 1
664 8620 1
872 1352 1
9099 9122 1
1064 4687 1
3524 4315 1
7059 7811 1
3331 6524 1
1360 2751 1
5417 9887 1
41 46 1
357 427 1
5957 8939 1
4232 6518 1
1308 2559 1
1606 5824 1
8424 9885 1
4581 9591 1
6433 6720 1
50 8456 1
5802 7186 1
2823 7291 1
343 532 1
994 1084 1
9027 9681 1
7805 7997 1
2746 2760 1
4850 6265 1
2277 3909 1
528 7868 1
4320 6151 1
2328 3414 1
3694 4802 1
1242 7324 1
1053 8215 1
6004 8987 1
7073 7103 1
4703 7087 1
1920 2175 1
3392 8429 1
4260 6003 1
190 4469 1
6551 9250 1
1173 7947 1
939 9293 1
2939 4533 1
3004 6417 1
3647 8285 1
3021 6834 1
782 1562 1
2016 8023 1
4 119 1
276 6714 1
3398 6382 1
799 8995 1
5766 6237 1
4456 7040 1
5169 9024 1
6044 8841 1
15 8286 1
2387 4636 1
2243 9999 1
8118 8814 1
2668 7009 1
2259 2481 1
452 1013 1
3025 6298 1
3850 5423 1
6029 7707 1
7468 9211 1
6583 8025 1
4142 9150 1
7 59 1
9547 9653 1
7783 9623 1
1977 9262 1
8555 8953 1
4797 9542 1
2235 6770 1
2009 3236 1
176 199 1
286 1975 1
942 1386 1
437 2538 1
3016 3466 1
2402 5282 1
9595 9600 1
8144 9551 1
1871 3960 1
3008 5269 1
6558 9721 1
5250 5296 1
3644 3782 1
11 146 1
94 1699 1
94 5696 1
409 4751 1
1219 9314 1
209 458 1
638 3601 1
3214 7245 1
797 5089 1
171 5003 1
2012 7308 1
199 302 1
2950 4675 1
777 6802 1
2982 8069 1
417 2224 1
3653 4464 1
17 360 1
5934 7456 1
1885 3642 1
416 766 1
3200 7958 1
2260 9045 1
4457 5831 1
2923 9140 1
2652 9478 1
1757 2589 1
809 3474 1
4030 5445 1
1167 4965 1
0 1868 1
418 1716 1
5497 8472 1
3241 4376 1
5906 7280 1
185 1059 1
3652 6021 1
392 6503 1
6590 8979 1
609 6936 1
1698 6786 2
4965 8957 2
137 2362 2
2255 4829 2
5514 9575 2
4253 9136 2
3315 5933 2
5164 5820 2
3262 7024 2
6616 7435 2
1536 2333 2
3997 5528 2
8151 9660 2
906 3455 2
2118 9790 2
7110 8890 2
1457 6955 2
5348 8813 2
136 1452 2
4913 5305 2
2114 6981 2
3908 8518 2
883 6024 2
47 2895 2
97 8054 2
4019 6592 2
2325 5157 2
9660 9988 2
1413 4856 2
4782 6739 2
288 9229 2
5432 8636 2
6618 7310 2
79 2137 2
2580 3750 2
1485 3011 2
3094 4055 2
43 1416 2
2952 7633 2
1956 6427 2
2293 6917 2
642 1378 2
823 6128 2
42 1942 2
5055 6894 2
723 1082 2
1909 9371 2
908 9204 2
4126 5097 2
1431 2812 2
1230 3180 2
582 3024 2
4521 4976 2
2110 8303 2
6 2089 2
66 151 2
665 6465 2
45 3103 2
236 4462 2
1358 9870 2
796 5646 2
1908 2690 2
6570 7507 2
1543 6033 2
1309 3577 2
5515 6154 2
3591 9573 2
275 695 2
1625 9522 2
715 5068 2
2155 4701 2
2667 6915 2
4863 8688 2
5159 6161 2
1006 1672 2
2305 9712 2
7138 8095 2
3742 7556 2
1341 2221 2
2571 9633 2
6604 7542 2
694 2169 2
70 6895 2
4862 5666 2
1539 3183 2
4430 7982 2
4539 7552 2
1167 1553 2
4692 7631 2
3 1649 2
245 2772 2
5869 9187 2
2150 5183 2
5633 8873 2
3217 8953 2
426 641 2
3416 8148 2
1506 5817 2
1608 2625 2
1905 3884 2
5618 9343 2
326 4615 2
3559 9811 2
1727 2195 2
5486 9406 2
426 8948 2
127 3626 2
188 1888 2
3713 9704 2
548 1543 2
3573 6169 2
417 9612 2
7664 8532 2
6034 7293 2
2992 9450 2
75 3232 2
4870 8969 2
6202 8103 2
2123 4000 2
1210 3488 2
6615 7540 2
1021 3281 2
67 1353 2
1222 5355 2
9022 9239 2
1301 1604 2
123 298 2
5763 9505 2
8155 9855 2
2162 3140 2
904 7358 2
6939 9772 2
4432 5775 2
4996 5192 2
6388 6742 2
4693 7929 2
1758 2930 2
1388 6917 2
1022 2147 2
889 4621 2
3699 6958 2
904 9879 2
3308 5236 2
2408 4497 2
1833 9012 2
1643 1964 2
1735 5624 2
4971 6440 2
3580 5375 2
1504 4746 2
1942 8012 2
6524 7284 2
450 570 2
1378 2192 2
471 1345 2
4934 8911 2
7311 7614 2
7542 9139 2
4766 9987 2
2500 7308 2
5443 9761 2
2017 3437 2
1563 3171 2
3601 7824 2
5777 8111 2
1967 8934 2
5630 5800 2
5080 8812 2
4482 7814 2
296 7793 2
399 3619 2
387 2942 2
2014 9188 2
1116 7222 2
3675 9384 2
1830 4960 2
5361 7231 2
32 136 2
1324 8125 2
493 1506 2
449 4687 2
2067 6298 2
5361 7640 2
1116 2261 2
91 2487 2
6315 7807 2
644 900 2
2889 6897 2
972 9993 2
7312 8015 2
6914 9205 2
4373 5906 2
2907 3796 2
1709 3353 2
5094 9334 2
480 1471 2
1105 1339 2
1861 9070 2
8252 9246 2
3849 9925 2
2053 3624 2
5495 7346 2
477 1846 2
5777 9844 2
1972 8418 2
4028 4510 2
1136 3070 2
1860 7875 2
5775 7168 2
2372 4784 2
1109 7057 2
480 7524 2
1393 6814 2
4599 9812 2
939 7271 2
5175 6043 2
28 281 2
932 2422 2
383 4438 2
13 5978 2
4897 6802 2
151 677 2
6130 7726 2
9240 9840 2
3850 7308 2
4737 9554 2
5496 5813 2
2265 5395 2
457 3088 2
5567 9885 2
3966 7024 2
724 4629 2
4941 8265 2
765 5606 2
609 6824 2
1561 2792 2
6109 8844 2
4813 9936 2
4606 5861 2
4809 4822 2
440 883 2
2611 7924 2
2347 2670 2
1182 1928 2
4468 6688 2
7248 9483 2
825 3520 2
1934 3330 2
2520 5764 2
1373 1484 2
5610 6986 2
1956 8657 2
2853 3598 2
2635 6228 2
2854 8802 2
1547 1598 2
1192 4011 2
18 565 2
3089 3565 2
5260 5569 2
3346 5456 2
3640 6226 2
1618 4266 2
6661 9851 2
4393 6724 2
6651 7604 2
5399 9928 2
3927 6229 2
2273 9357 2
8643 9877 2
6113 8124 2
1826 4235 2
1599 3934 2
6143 9952 2
2510 5502 2
4500 8507 2
3183 3266 2
6730 9040 2
34 8656 2
1130 1354 2
6476 8398 2
112 1066 2
5783 6287 2
2694 3637 2
862 8071 2
3918 8340 2
3234 7040 2
981 9538 2
402 1799 2
4495 4846 2
2075 3810 2
5674 6501 2
4720 5688 2
1081 2701 2
1463 3194 2
4652 6694 2
982 7961 2
1187 6303 2
4715 5058 2
4345 4481 2
5102 6112 2
1079 9894 2
2950 7283 2
4944 6596 3
2774 9038 3
4031 9900 3
4789 4850 3
108 698 3
1013 1151 3
5612 6173 3
7106 7470 3
961 7638 3
2583 3636 3
1009 6109 3
3247 5207 3
1008 5795 3
2667 4817 3
6926 8662 3
2699 4996 3
68 6907 3
5831 8155 3
8561 9929 3
634 6320 3
4255 5041 3
69 86 3
2725 8230 3
983 5596 3
622 2305 3
666 1007 3
991 3060 3
1801 7101 3
6896 9302 3
3641 4296 3
946 3910 3
983 8675 3
3617 3661 3
920 6406 3
2259 7847 3
577 2388 3
3266 7757 3
575 1544 3
4639 7595 3
2733 4305 3
586 4340 3
3596 5579 3
1617 2168 3
6881 7600 3
3212 5547 3
3594 8451 3
2690 4781 3
985 4722 3
5959 8643 3
584 2867 3
616 5796 3
1804 7568 3
7726 9486 3
1229 8439 3
4592 8096 3
1922 4492 3
911 9591 3
2762 3879 3
1613 7428 3
4675 6347 3
5968 7726 3
4571 5222 3
7096 9053 3
1228 2224 3
5861 6176 3
4600 5472 3
319 8673 3
948 1354 3
2214 4084 3
1816 5330 3
3664 9718 3
253 3761 3
277 3184 3
4646 8758 3
997 9819 3
3697 9327 3
4895 5679 3
598 9893 3
3273 4634 3
7899 8561 3
2282 8749 3
5724 7920 3
1920 9225 3
2758 3316 3
4271 7476 3
2672 3785 3
3704 8705 3
3162 8879 3
6856 7379 3
120 651 3
1777 5281 3
4780 5321 3
405 2655 3
1075 3299 3
1271 2942 3
5180 6187 3
1779 2684 3
4347 5219 3
3504 7879 3
1662 6616 3
5071 6532 3
7568 7974 3
2077 4178 3
145 2887 3
4356 9049 3
7274 9543 3
5136 9043 3
8018 8702 3
6136 6212 3
5242 7559 3
4187 6791 3
742 9481 3
488 3291 3
1094 5933 3
3020 8000 3
2530 2754 3
1382 4757 3
3970 5430 3
1154 7017 3
3909 5443 3
196 228 3
2845 5793 3
6781 8536 3
1295 1327 3
8395 9488 3
2341 4091 3
7 11 3
4487 8782 3
5741 6701 3
356 5950 3
5241 8533 3
4103 5756 3
508 9133 3
436 2292 3
8145 8971 3
5167 7449 3
231 4712 3
2343 4809 3
2344 6421 3
3920 6535 3
1471 1483 3
7313 8987 3
843 1433 3
1117 6404 3
3378 8628 3
1123 4851 3
400 615 3
3853 4990 3
1256 3368 3
5659 6648 3
463 3770 3
2466 2477 3
3935 7913 3
3463 5339 3
3851 6981 3
1275 5777 3
6643 7033 3
6095 7705 3
1132 9069 3
2938 4995 3
204 2354 3
1970 8199 3
397 9601 3
3458 7507 3
3919 7783 3
3804 7175 3
1286 4428 3
482 7208 3
3488 7079 3
5394 6825 3
4800 9138 3
2493 4470 3
4737 5409 3
3487 4887 3
1368 8833 3
1860 2258 3
515 1394 3
1398 9677 3
755 7646 3
4743 7136 3
6691 7842 3
5093 7310 3
1890 7149 3
2912 3043 3
1765 4663 3
4121 6027 3
21 2037 3
2442 7915 3
6599 6978 3
547 9773 3
3139 7496 3
1347 3221 3
5810 8957 3
1034 4418 3
896 5173 3
2803 3496 3
894 5259 3
694 2483 3
9772 9881 3
5730 7769 3
2135 8034 3
4073 4167 3
2 5 3
1040 3507 3
187 4739 3
1040 3634 3
3875 7043 3
4308 9276 3
891 7350 3
181 810 3
5187 9873 3
7157 9470 3
1300 1790 3
3752 6786 3
7121 8922 3
2780 6981 3
8823 9932 3
66 7638 3
1509 1527 3
1907 6333 3
8835 9166 3
808 4057 3
1203 1254 3
2783 3448 3
6248 7082 3
2575 9135 3
1022 1152 3
426 4769 3
3145 4562 3
1301 1937 3
2789 8883 3
3560 6298 3
416 2154 3
691 4163 3
7398 8683 3
3736 5788 3
549 9198 3
2569 8660 3
2304 6607 3
548 5123 3
2962 4725 3
801 2573 3
701 6922 3
191 318 3
2818 3366 3
1298 3627 3
531 2133 3
4091 4863 3
2405 9530 3
706 1123 3
4320 9887 3
3759 9405 3
5803 6468 3
2961 5500 3
6438 9719 3
2536 7035 3
7618 8252 3
408 5649 3
177 4497 3
4095 4580 3
1382 8319 3
237 364 3
1995 4571 3
5019 5370 3
9000 9555 3
4697 9761 3
3309 6734 3
2126 5049 3
1414 5227 3
4311 8634 3
5479 8756 3
2124 5104 3
3127 7053 3
337 1363 3
791 7040 4
3443 4935 4
811 6634 4
177 191 4
5675 6489 4
1444 4179 4
781 4411 4
5704 7387 4
3626 4836 4
811 3420 4
1873 7307 4
1271 7971 4
6638 8007 4
804 7111 4
2423 7736 4
1868 3949 4
1270 2291 4
1661 2730 4
942 4035 4
272 4649 4
274 2205 4
4252 5259 4
3235 3261 4
1269 3930 4
2394 9531 4
4790 8140 4
3618 4769 4
189 4181 4
3410 8847 4
5471 5937 4
189 3061 4
277 4851 4
4042 5793 4
1703 2071 4
667 6179 4
4670 5179 4
3581 3643 4
2321 6078 4
6799 8334 4
8410 9326 4
4234 8320 4
2550 4855 4
6376 8212 4
6872 7084 4
4854 7551 4
714 7937 4
1898 9603 4
2338 5022 4
1688 6862 4
3259 3523 4
876 8839 4
926 2159 4
3327 3709 4
870 2580 4
3551 8729 4
2579 4927 4
681 769 4
2578 7775 4
909 4290 4
252 3354 4
1510 3714 4
8458 9956 4
2291 3519 4
6820 8191 4
2528 5624 4
1233 2396 4
893 5690 4
2285 5271 4
1695 1903 4
1300 2744 4
4693 4780 4
3304 5739 4
4670 6480 4
8428 9126 4
6675 6707 4
6711 8993 4
5679 6415 4
8307 8819 4
3479 8571 4
1491 8147 4
2479 5671 4
6521 9219 4
649 3300 4
215 3912 4
1228 4320 4
3471 4221 4
1256 2638 4
6925 8835 4
5960 7651 4
6645 9673 4
1257 5126 4
939 2965 4
1276 4142 4
780 1841 4
226 530 4
1686 9268 4
3520 8566 4
144 2170 4
867 2482 4
4200 5963 4
1292 7876 4
230 4350 4
229 9872 4
4713 7735 4
1475 4634 4
1289 2493 4
929 9549 4
2620 3509 4
6902 7088 4
3348 8554 4
1312 2786 4
3490 6869 4
2494 3628 4
7276 9488 4
371 8367 4
3709 4650 4
1093 4814 4
2766 8827 4
1158 4188 4
5154 6060 4
566 7050 4
1965 2582 4
1342 9653 4
562 9535 4
7377 8082 4
2887 7182 4
3857 3902 4
1013 1498 4
7436 8505 4
1939 3510 4
4297 8305 4
3795 8015 4
1089 4318 4
6055 8197 4
3722 7464 4
560 860 4
4559 9226 4
1777 7484 4
3011 8036 4
2877 8305 4
1795 4381 4
5744 7027 4
2079 9570 4
4549 8723 4
314 2475 4
583 2244 4
1428 4231 4
2063 3121 4
1595 4680 4
4584 6261 4
6051 6140 4
7073 7265 4
4478 9456 4
481 8789 4
1338 1342 4
8757 9306 4
1799 5910 4
1565 7317 4
1367 5898 4
431 491 4
2792 3162 4
1966 3949 4
1937 3363 4
4971 9350 4
2754 4723 4
2894 6220 4
2755 6636 4
487 6702 4
5979 9306 4
1208 5910 4
2963 3143 4
571 7430 4
2760 3205 4
1096 1962 4
1186 2682 4
4329 5053 4
7170 9014 4
4511 7073 4
2816 6447 4
1393 1465 4
3919 7500 4
1063 9627 4
3112 7710 4
444 928 4
4406 9243 4
4513 5137 4
4320 5820 4
9039 9563 4
527 9352 4
3106 9855 4
7358 9076 4
2848 5514 4
7606 9120 4
5796 7734 4
2842 8171 4
3761 4571 4
45 83 4
4521 5398 4
1580 2912 4
5402 6905 4
2112 6220 4
2842 3425 4
1175 7989 4
45 3192 4
45 4273 4
3104 6642 4
7245 9664 4
2792 3841 4
1391 6696 4
3873 7188 4
1081 3454 4
551 1565 4
3785 4782 4
3141 5147 4
3080 4492 4
2798 7235 4
1200 4824 4
1406 5159 4
2802 3654 4
37 9444 4
3742 6200 4
3012 6099 4
3949 7243 4
1072 7159 4
56 135 4
6182 6196 4
7353 9914 4
3748 8808 4
507 6006 4
2093 5956 4
5546 5845 4
1607 6639 4
1999 2326 4
337 7869 4
8 100 4
1415 1925 4
4534 9686 4
475 4263 4
2911 3767 4
6105 9232 4
4269 8569 4
1125 9444 4
5094 8707 4
7027 8924 4
289 1974 4
5755 6889 4
5160 9409 4
6981 9814 4
6120 9795 4
5089 6215 4
1626 4203 4
287 5253 4
1811 3810 4
2716 2882 4
1375 1947 4
958 1508 4
85 1328 4
2925 9361 4
2208 4686 4
4469 9747 4
964 6948 4
1923 2003 4
966 7489 4
293 378 4
1923 4586 4
93 3720 4
3202 6416 4
3891 7059 4
7490 8777 4
1181 4405 4
6023 6134 4
385 586 4
613 1273 4
16 140 4
5365 8534 4
2050 8170 4
6325 6834 4
291 3917 4
2975 7194 4
2025 7949 4
1221 5032 4
5718 9661 4
982 3570 4
1979 2860 4
2728 5452 4
593 1025 4
8724 8991 4
4621 7671 4
1128 5180 4
2669 6214 4
1162 6259 4
4589 5848 4
2194 3783 4
454 2210 4
5328 7904 4
1179 9018 4
4463 5349 4
3629 6440 4
1577 1798 4
5977 6847 4
5316 7411 4
412 5786 4
411 8634 4
5775 7555 4
4025 5996 4
1108 8431 4
1921 8566 4
3177 7192 4
2676 7639 4
7472 9134 4
3850 7479 4
1394 2004 4
5573 7236 4
2465 2968 5
2034 3877 5
466 6648 5
777 6758 5
6187 6468 5
146 261 5
1069 7934 5
4801 6480 5
3332 4167 5
1409 2537 5
39 4820 5
1245 5714 5
1868 3567 5
1279 9391 5
1753 2567 5
2337 5165 5
2865 8004 5
4809 9560 5
754 3669 5
146 162 5
2463 5435 5
2342 7064 5
1294 1650 5
2532 3534 5
719 5844 5
2845 8421 5
874 3600 5
2341 3168 5
6544 7001 5
2036 2278 5
2107 4184 5
2468 6010 5
3771 8287 5
775 8986 5
4399 5088 5
1688 2208 5
1865 3483 5
5944 9042 5
6765 8698 5
5055 5686 5
2469 2948 5
2927 3473 5
2850 3448 5
1568 7148 5
4508 7690 5
1955 2088 5
833 6356 5
358 831 5
3846 4580 5
6073 9598 5
858 3677 5
152 9090 5
1093 4397 5
4831 5161 5
8066 8790 5
6695 7264 5
859 1935 5
5889 7872 5
1586 1881 5
1374 4270 5
741 1480 5
7283 8636 5
1861 2766 5
6124 6919 5
3825 7140 5
5449 5821 5
861 5557 5
2882 7280 5
454 679 5
2061 9500 5
8311 9735 5
2064 2323 5
7530 9037 5
1771 8134 5
157 7184 5
3944 3988 5
3488 7802 5
4378 4544 5
4162 9130 5
6508 6688 5
2898 4028 5
1885 2065 5
851 1865 5
3355 4884 5
476 2584 5
1679 3508 5
3365 6763 5
1678 2059 5
384 5975 5
6737 9876 5
4496 9269 5
3041 5606 5
387 4290 5
1852 8551 5
1747 3944 5
2081 4001 5
2917 8851 5
6735 7083 5
842 6426 5
4498 8209 5
4173 4530 5
7992 8363 5
842 4087 5
3448 6512 5
5120 8466 5
506 2938 5
3502 4405 5
449 2187 5
7264 7404 5
736 1877 5
23 126 5
1476 4850 5
5096 5784 5
735 9861 5
3919 9171 5
1686 2954 5
7492 7843 5
2510 4800 5
1599 2031 5
2911 5492 5
226 992 5
3503 9859 5
1273 1286 5
1740 3288 5
148 232 5
2742 9985 5
6871 9059 5
4887 6577 5
4583 5927 5
1721 5444 5
76 2955 5
4057 5436 5
582 714 5
2183 8758 5
5979 8280 5
5158 5997 5
4280 5061 5
1990 6338 5
4884 9410 5
113 8235 5
3590 6646 5
988 9422 5
309 533 5
1717 4006 5
2275 3111 5
5821 8768 5
7052 7526 5
1310 6215 5
2205 2337 5
84 5412 5
5158 9167 5
4783 5284 5
6833 7895 5
3569 5621 5
1303 2625 5
2779 3032 5
4981 7451 5
5230 7512 5
4678 5372 5
1342 4001 5
1010 2155 5
568 1457 5
69 1584 5
2764 9382 5
6301 8574 5
3160 5991 5
3574 4932 5
2598 3350 5
2408 2502 5
5695 8894 5
7692 7797 5
5198 8988 5
179 3297 5
1159 5879 5
2181 6886 5
1450 2952 5
7825 9711 5
90 4763 5
7773 9609 5
804 8432 5
93 1738 5
1708 2662 5
643 4528 5
2999 5567 5
3643 6916 5
184 2551 5
8601 9939 5
1221 3538 5
942 4450 5
2704 3514 5
1387 3768 5
1515 2872 5
5500 7295 5
3631 6252 5
276 9332 5
0 62 5
4425 4474 5
283 3013 5
418 8115 5
627 7624 5
4255 7949 5
5707 7212 5
1711 7390 5
3187 9971 5
1757 3852 5
8172 9673 5
7426 7508 5
6917 7808 5
933 1357 5
110 255 5
600 6995 5
4945 5568 5
4049 9182 5
3194 6113 5
4943 6821 5
1243 7797 5
4793 8649 5
935 7998 5
7017 8632 5
605 2617 5
4605 7887 5
1667 7202 5
4049 4180 5
187 6198 5
4941 7277 5
647 2947 5
90 1116 5
2313 3509 5
3754 6340 5
1999 4091 5
1789 2817 5
4854 5098 5
1790 3372 5
1197 1234 5
5483 8677 5
339 1094 5
3440 6949 5
4857 8994 5
4140 6092 5
3539 8724 5
336 2933 5
8962 9972 5
1040 7167 5
2562 8558 5
1642 2510 5
3130 8523 5
335 9391 5
5190 6511 5
2805 5232 5
3135 7991 5
695 5522 5
2548 4985 5
3532 4217 5
1056 2926 5
879 3737 5
349 1266 5
4407 7406 5
198 4007 5
5141 9760 5
1604 8165 5
3403 3928 5
883 2339 5
2547 8773 5
2293 3417 5
7452 8375 5
527 3975 5
47 3470 5
1735 7554 5
4319 4845 5
6437 7026 5
135 4874 5
440 563 5
793 5040 5
7944 8936 5
5338 6077 5
1637 9504 5
2790 9165 5
2573 4036 5
5546 6635 5
689 5263 5
3145 8271 5
4795 8394 5
683 8950 5
4869 5663 5
3875 7895 5
7920 8319 5
3985 5514 5
324 3877 5
2405 7742 5
1727 6462 5
323 7612 5
4436 8553 5
251 2151 5
5233 6470 5
323 324 5
3908 8382 5
907 6660 5
1024 9905 5
5872 9116 5
1037 6861 5
5517 7704 5
1032 9628 5
5004 8904 5
8891 9466 5
1947 6057 5
8890 9884 5
2149 5097 5
2792 5993 5
2954 5061 5
552 1915 5
4302 5204 5
5633 5713 5
4411 8080 6
1171 2057 6
2963 3278 6
2951 4520 6
8147 8812 6
1768 2302 6
5459 6085 6
4402 8340 6
7412 8291 6
789 8345 6
2432 9025 6
187 7934 6
2946 7134 6
7457 8642 6
4772 7584 6
1754 9526 6
5919 9749 6
406 796 6
438 3951 6
5457 8373 6
3018 5913 6
5774 6522 6
5454 8576 6
1479 3860 6
6601 9480 6
3012 6456 6
1479 7356 6
5266 9093 6
4786 5408 6
2950 3672 6
6632 9608 6
3403 5030 6
2944 8714 6
2993 5648 6
7091 7650 6
562 711 6
3155 4245 6
562 3424 6
2779 3249 6
1727 4070 6
4677 8984 6
2591 5614 6
255 2387 6
323 1520 6
2758 6346 6
4670 8449 6
4579 7862 6
3270 9976 6
3165 5077 6
1832 9525 6
310 5854 6
4684 4773 6
697 7199 6
1348 5978 6
1415 3142 6
542 4957 6
3130 7810 6
547 3198 6
4218 6883 6
1454 6024 6
262 4501 6
2790 3042 6
3295 8040 6
4683 7919 6
5726 6256 6
6824 7116 6
1727 9201 6
558 9144 6
3231 4687 6
5850 6229 6
7000 7383 6
1826 4900 6
3236 5351 6
612 4876 6
3203 8080 6
291 530 6
3206 5222 6
2635 3324 6
1707 2384 6
4639 8033 6
6974 9023 6
2672 5663 6
6965 7506 6
3229 5048 6
3220 3448 6
4696 4905 6
648 3562 6
1828 8115 6
605 1734 6
2709 7999 6
4271 6520 6
2625 9066 6
3190 4488 6
3188 5818 6
3249 9821 6
2719 6435 6
2625 3122 6
1310 6388 6
5326 6721 6
5699 9879 6
7063 8641 6
2504 5084 6
479 702 6
379 8546 6
6713 8000 6
2905 3505 6
375 9448 6
1683 2485 6
223 808 6
3352 5418 6
756 6460 6
493 4073 6
1366 2417 6
366 3882 6
4495 7963 6
2878 3417 6
735 8555 6
4496 9077 6
1373 2461 6
7321 8371 6
6660 7605 6
5759 5857 6
1278 7678 6
391 2624 6
4752 9396 6
465 7278 6
2920 6545 6
731 9363 6
764 3896 6
388 1881 6
214 6285 6
472 7758 6
1467 6313 6
1369 7910 6
1770 5417 6
7624 8377 6
4519 9238 6
519 1463 6
7204 9162 6
7958 8322 6
2537 2766 6
709 8354 6
1783 5438 6
3311 5682 6
2536 4658 6
4318 9640 6
7187 9996 6
7943 9825 6
342 1454 6
700 5700 6
2809 7653 6
7641 9248 6
2925 8510 6
2847 3577 6
1294 1495 6
2847 6883 6
354 8737 6
3094 7545 6
2528 7708 6
2528 7222 6
7221 9680 6
7233 7504 6
3083 8196 6
7979 8758 6
7245 8356 6
230 8862 6
7584 8287 6
2870 9041 6
4956 9157 6
8408 9277 6
6374 8459 6
3891 9028 6
5990 8680 6
3808 7432 6
78 2509 6
1544 3384 6
2074 3560 6
4957 8350 6
1194 5755 6
3527 4964 6
4055 7889 6
8400 8732 6
6450 8606 6
9223 9452 6
2006 3941 6
15 4178 6
5477 5756 6
6374 7717 6
873 3824 6
5142 9861 6
1914 4917 6
3987 9128 6
3724 7803 6
5479 8451 6
1921 7236 6
117 707 6
174 419 6
4020 7932 6
8234 9590 6
1609 7843 6
3631 5383 6
1535 2716 6
9341 9856 6
1261 5552 6
30 273 6
4093 4389 6
2396 8601 6
3726 7646 6
8239 9581 6
6106 6277 6
4943 5938 6
3865 8543 6
8505 9903 6
829 5315 6
1062 9578 6
3683 3925 6
5029 6973 6
5941 9851 6
1109 6570 6
147 6391 6
8361 9157 6
8682 9561 6
1919 4661 6
1159 1419 6
2369 6556 6
3842 6131 6
1541 6622 6
3977 7771 6
1892 2481 6
4113 8967 6
3843 6695 6
4045 6708 6
4 3161 6
1916 7715 6
6490 8862 6
1655 2852 6
5650 8752 6
1174 1380 6
1032 9971 6
6373 8735 6
3739 4687 6
142 7827 6
3468 3605 6
4126 4351 6
1134 9650 6
8519 8695 6
2344 7183 6
1229 4495 6
2271 4490 6
4812 6208 6
8623 8992 6
8919 9290 6
1936 4954 6
2035 6251 6
2034 9768 6
1053 4740 6
8525 9852 6
9620 9700 6
1253 7703 6
6301 8669 6
2375 6806 6
898 2499 6
5927 8833 6
2165 4297 6
1217 7225 6
1071 2340 6
813 7571 6
891 6600 6
11 258 6
3652 9038 6
1611 6230 6
5580 8007 6
179 3659 6
1205 9402 6
6143 9749 6
4018 6008 6
180 7719 6
5514 7909 6
2063 3518 6
1235 9154 6
2232 6008 6
128 219 6
6332 8150 6
2087 7096 6
5664 9642 6
2046 6467 6
5578 6439 6
6581 9103 6
970 6900 6
9496 9652 6
94 242 6
3427 9047 6
4882 9137 6
1612 3279 6
958 2801 6
5168 5835 6
14 3099 6
4061 6112 6
912 5923 6
181 1842 6
1232 6044 6
